_SampleName_,_fastq_,_output_
MF_1_S1,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_1_S1_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_2_S9,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_2_S9_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_3_S17,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_3_S17_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_IL10_1_S8,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_IL10_1_S8_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_IL10_2_S16,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_IL10_2_S16_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_IL10_3_S22,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_IL10_3_S22_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_IL4_1_S3,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_IL4_1_S3_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_IL4_2_S11,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_IL4_2_S11_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_LPS-IFN_1_S2,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_LPS-IFN_1_S2_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_LPS-IFN_2_S10,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_LPS-IFN_2_S10_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_PMNs_no_stim_1_S4,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_PMNs_no_stim_1_S4_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_PMNs_no_stim_2_S12,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_PMNs_no_stim_2_S12_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
MF_plus_PMNs_no_stim_3_S18,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/fastq/MF_plus_PMNs_no_stim_3_S18_L001_R1_001.fastq.gz,/home/ttm3567/rootdir_scratch/20250520_BWA_Bismark_Combo_Pipe/out
