"chr","start","end","length","nCG","meanMethy1","meanMethy2","diff.Methy","areaStat","feature_class","nearest_gene","distance_to_TSS","in_CpG_island","gene_symbol"
"chr11",102296423,102297003,581,168,0.0651400494472677,0.122063805415101,-0.0569237559678328,-992.575089422187,NA,"XM_030246256.1",0,TRUE,"Slc25a39"
"chr11",49712461,49712957,497,145,0.0334513543643967,0.0786644991169393,-0.0452131447525427,-885.574353894101,"intron","XR_388617.4",1652,TRUE,"Gm36507"
"chr8",92358068,92358507,440,119,0.0476187752562247,0.0845554167385409,-0.0369366414823161,-754.211138868002,NA,"XR_004934954.1",-1334,TRUE,"LOC118567558"
"chr11",102437668,102438108,441,109,0.218309671116579,0.286292160470368,-0.0679824893537894,-749.905584456503,"intron","Mdk-ps1",1234,TRUE,NA
"chr18",5334090,5334633,544,109,0.0417321990119215,0.0935953140044736,-0.0518631149925522,-716.18614057394,NA,"NM_178722.5",0,TRUE,"Zfp438"
"chr12",110278408,110278689,282,108,0.0771200633183072,0.113569314013298,-0.0364492506949909,-697.793021974705,NA,"XM_036157777.1",-3672,FALSE,"Gm6988"
"chr17",86167437,86167837,401,116,0.0442710281631967,0.0827229138789446,-0.0384518857157478,-656.804091340422,NA,"XR_877082.4",-58662,FALSE,"Gm29418"
"chr16",94289991,94290364,374,110,0.0850981486641144,0.158767758288941,-0.0736696096248264,-619.510477659321,NA,"XR_876278.3",12299,TRUE,"Gm31323"
"chrX",60547467,60547752,286,103,0.0688498455726682,0.106290883262277,-0.0374410376896085,-537.642860388497,NA,"Gm14666",23410,FALSE,NA
"chr17",39847525,39848161,637,108,0.277997615880579,0.244396786315894,0.0336008295646849,524.007160533381,"intron","NM_001255977.1",494,TRUE,"Esp16"
"chr11",5098791,5099164,374,70,0.0386346449956219,0.0927593347059103,-0.0541246897102884,-516.048678935596,"intron","NM_001371004.1",911,TRUE,"Emid1"
"chr8",14911536,14911911,376,90,0.0393270365442744,0.0844625701687929,-0.0451355336245185,-483.818583772595,NA,"XM_006508807.2",-19424,FALSE,"Cln8"
"chr9",121719107,121719413,307,91,0.0441648605929636,0.0787752711156244,-0.0346104105226607,-462.73487756399,NA,"NM_021609.4",-8008,FALSE,"Ackr2"
"chr2",26964205,26964702,498,73,0.050780893240284,0.108039159413305,-0.0572582661730209,-456.092390297038,NA,"NM_025376.3",-2033,FALSE,"Mymk"
"chr5",5663881,5664155,275,57,0.0814234022828491,0.225391480165424,-0.143968077882575,-445.939299084094,"intron","XM_011240666.2",32869,TRUE,"Cfap69"
"chr3",108562250,108562599,350,69,0.043170024380755,0.0934692426890024,-0.0502992183082474,-423.857122802825,"intron","NM_001177770.2",996,TRUE,"Clcc1"
"chr4",46196052,46196434,383,89,0.0320420330282605,0.0584980074847154,-0.0264559744564549,-413.652839921757,NA,"NR_188969.1",0,TRUE,NA
"chr2",91070291,91070549,259,71,0.0485457900843111,0.0871947714523277,-0.0386489813680166,-413.066234788101,NA,"XR_003954046.2",-2514,FALSE,"Gm31054"
"chr11",22972320,22972779,460,65,0.370256160130963,0.299969617058438,0.0702865430725245,408.50058795886,NA,"NM_028672.4",8935,TRUE,"Fam161a"
"chr9",123113082,123113239,158,47,0.068924622937154,0.142188027297571,-0.0732634043604174,-407.044426762021,NA,"NM_001002267.2",-23229,FALSE,"Tmem158"
"chr12",57230253,57230480,228,60,0.0400262795392499,0.0792928918003565,-0.0392666122611066,-396.377277985783,"intron","NM_172577.3",13778,TRUE,"Slc25a21"
"chr7",18925675,18926190,516,78,0.063737691886515,0.137415030686536,-0.0736773388000213,-392.626731505141,"intron","NR_029763.1",10287,TRUE,"Mir330"
"chr2",74825926,74826082,157,54,0.0486923464252209,0.0846024713658383,-0.0359101249406174,-385.938728566665,NA,"XR_001783335.1",-65872,FALSE,"Gm46748"
"chr5",149052258,149052488,231,91,0.0255690595152795,0.0470713581810183,-0.0215022986657387,-383.990276866519,NA,"XR_868723.4",24120,FALSE,"Gm38752"
"chr5",146261080,146261354,275,57,0.290325622532215,0.231139769030767,0.0591858535014475,379.451608080827,NA,"XR_003956008.2",17848,FALSE,"Gm52832"
"chr2",174284093,174284369,277,30,0.127991476593157,0.270654143412937,-0.14266266681978,-376.747180212834,"prom","Rpl30-ps5",-946,FALSE,NA
"chr3",90293490,90293648,159,51,0.0351855434535568,0.0731630771551938,-0.037977533701637,-366.378275275804,NA,"NM_001316688.2",3629,TRUE,"Slc27a3"
"chr3",83766011,83766224,214,41,0.0736620249052876,0.129131325780434,-0.0554693008751468,-361.562898345243,NA,"XM_006501460.4",-16967,FALSE,"Tlr2"
"chr3",117868794,117868976,183,52,0.0390297481195425,0.0700052788187625,-0.03097553069922,-360.415147749224,NA,"XR_375987.2",110090,FALSE,"Gm32344"
"chr9",56994677,56994950,274,51,0.0583460739012194,0.125738971610985,-0.0673928977097657,-357.772121904961,"intron","NM_001420196.1",11023,TRUE,NA
"chr10",59616429,59616643,215,66,0.0683685151769676,0.112961252140734,-0.0445927369637666,-355.25751790728,"intron","NR_155871.1",19434,TRUE,"Gm17059"
"chr6",52260936,52261198,263,62,0.0467589298209432,0.0812253883866125,-0.0344664585656693,-350.581418146184,NA,"NR_110441.1",21178,FALSE,"Hottip"
"chr2",32150947,32151234,288,76,0.0759872316719678,0.123471506745674,-0.0474842750737059,-349.801043742382,"prom","NM_011675.2",-831,FALSE,"Uck1"
"chr16",57391181,57391821,641,73,0.355009728652624,0.297456883101102,0.0575528455515217,348.273934927671,NA,"XR_004939287.1",21220,TRUE,"Gm53930"
"chrX",8893002,8893207,206,66,0.0734148769887019,0.130608294575387,-0.0571934175866849,-346.499678308422,NA,"Gm14865",-3085,FALSE,NA
"chr12",84316796,84317108,313,50,0.0528332996834026,0.106228776264754,-0.0533954765813513,-343.267289193265,NA,"Gm5436",-11034,FALSE,NA
"chr18",39489719,39489958,240,74,0.0272421027309793,0.0494939201601483,-0.022251817429169,-340.929785760453,NA,"XR_004939914.1",14520,TRUE,"Gm15337"
"chr8",128685360,128685686,327,52,0.0366386471192208,0.088398223432682,-0.0517595763134612,-340.075920924527,NA,"XR_388234.2",-153145,FALSE,"Gm32590"
"chr9",65141326,65141507,182,65,0.0429255346588458,0.0695958747823914,-0.0266703401235456,-339.901297569927,"intron","XM_011242702.3",18917,TRUE,"Parp16"
"chr2",32287913,32288277,365,50,0.0940147519048853,0.216281589928439,-0.122266838023554,-338.594318649387,"intron","NM_133783.2",2013,TRUE,"Ptges2"
"chr4",34049969,34050244,276,42,0.423998417727177,0.751033806294381,-0.327035388567204,-338.395448255634,NA,"NM_001290443.1",0,TRUE,"Spaca1"
"chr5",110780460,110780665,206,46,0.0446290415424589,0.0909949233704115,-0.0463658818279525,-335.655365857845,NA,"NM_153570.2",20584,FALSE,"Noc4l"
"chr18",14706073,14706426,354,38,0.690063046253887,0.53347293701069,0.156590109243197,335.476257485857,NA,"Gm6457",2905,FALSE,NA
"chr11",64978980,64979235,256,57,0.0921212649754956,0.155058115423929,-0.0629368504484332,-327.836499064313,"intron","XM_006532874.5",-21668,TRUE,"Arhgap44"
"chr10",95323746,95323957,212,35,0.0408399777369583,0.112985083620876,-0.0721451058839178,-325.171325746993,"intron","Gm3619",-9471,TRUE,NA
